rank,lemma,reading,score,model_score,correction_delta,band,current,delta,core_rank,candidate_state,correction_types,display_form,admission_override,topic_stretch_allowed,correction_status,correction_rationale,manual_correction_active,manual_review,manual_note,review_flags,exact_commonness,jlpt_exact_known,jlpt_raw_exact_known,jlpt_normalized_only_known,lesson_known,kana_preferred,rare_wago_obscure_written,kanji_surface,same_surface_risk,hard_form,soft_form,reading_inheritance,tail_guard,suspicion_full
1,先生,せんせい,0.000225,0.000225,0.0,0.00-0.05,0.000225,0.0,700.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2,はい,はい,0.000676,0.000676,0.0,0.00-0.05,0.000676,0.0,3023.0,normal_vocab,,,,,,,,,,,0.816091,1.0,1.0,0.0,1.0,0.0,0.210096,0.0,0.0,1.0,1.0,0.0,1.0,0.0
3,居る,いる,0.001577,0.001577,0.0,0.00-0.05,0.001577,0.0,13.0,normal_vocab,display_only,いる,normal_vocab,True,active,"The word is core beginner vocabulary, but early learner display should prefer kana over the kanji form.",yes,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.034233,1.0,0.0,0.0,1.0,0.75,0.034233,0.0
4,言う,いう,0.002027,0.002027,0.0,0.00-0.05,0.002027,0.0,19.0,normal_vocab,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.020905,1.0,0.0,0.0,1.0,1.0,0.020905,0.0
5,成る,なる,0.002477,0.002477,0.0,0.00-0.05,0.002477,0.0,23.0,normal_vocab,display_only,なる,normal_vocab,True,active,"The word is core beginner vocabulary, but early learner display should prefer kana over the kanji form.",yes,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.049834,1.0,0.0,0.0,1.0,1.0,0.049834,0.0
6,来る,くる,0.002928,0.002928,0.0,0.00-0.05,0.002928,0.0,46.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.03822,1.0,0.0,1.0,1.0,1.0,0.03822,0.0
7,物,もの,0.003829,0.003829,0.0,0.00-0.05,0.003829,0.0,52.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.042452,1.0,0.0,0.0,1.0,0.0,0.042452,0.0
8,行く,いく,0.004279,0.004279,0.0,0.00-0.05,0.004279,0.0,57.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,1.0,1.0,0.035564,1.0,0.0,1.0,1.0,1.0,0.035564,0.0
9,いい,いい,0.005,0.112331,-0.107331,0.00-0.05,0.112331,-0.107331,,normal_vocab,score_override,,normal_vocab,True,active,This should be the beginner-facing row for 'good'; the model ranked 良い/よい first and left the kana row too late.,yes,,,,0.028074,1.0,1.0,0.0,0.0,1.0,0.340174,0.0,0.0,0.0,1.0,0.0,1.0,1.0
10,人,ひと,0.00518,0.00518,0.0,0.00-0.05,0.00518,0.0,64.0,normal_vocab,,,,,,,,,,early_kana_preferred_kanji,1.0,1.0,1.0,0.0,0.0,1.0,0.028174,1.0,0.0,0.0,1.0,1.0,0.028174,0.0
